,Character,speaking_turns,Total_Words,Gender,radius,diameter
1,Agent,1,16,male,4,8
2,Aunt May,8,51,female,7.141428429,14.28285686
3,Bad Guy #1,2,15,male,3.872983346,7.745966692
4,Bad Guy #2,1,3,male,1.732050808,3.464101615
5,Bodyguard,1,6,female,2.449489743,4.898979486
6,Bucky,47,340,male,18.43908891,36.87817783
7,Clint,26,274,male,16.55294536,33.10589071
8,Cop,2,12,male,3.464101615,6.92820323
9,Delivery,1,1,male,1,2
10,Delivery Man,2,6,male,2.449489743,4.898979486
11,Everett Ross,6,127,male,11.26942767,22.53885534
12,Friday,17,153,female,12.36931688,24.73863375
13,Front Desk Woman,1,9,female,3,6
14,Guard,1,13,male,3.605551275,7.211102551
15,Guy on PA system,1,10,male,3.16227766,6.32455532
16,Howard,6,66,male,8.124038405,16.24807681
17,LAGOS,1,2,male,1.414213562,2.828427125
18,Mailman,1,4,male,2,4
19,Man,3,6,male,2.449489743,4.898979486
20,Maria,5,83,female,9.110433579,18.22086716
21,MESSAGE INBOX,1,2,male,1.414213562,2.828427125
22,Miriam,4,114,female,10.67707825,21.3541565
23,Natasha,64,551,female,23.47338919,46.94677838
24,Other Winter Soldier,1,2,male,1.414213562,2.828427125
25,Peter,66,671,male,25.90366769,51.80733539
26,Preacher,1,17,male,4.123105626,8.246211251
27,Receptionist,2,11,female,3.31662479,6.633249581
28,Reporter,7,159,male,12.60952021,25.21904043
29,Rhodey,22,274,male,16.55294536,33.10589071
30,Room Service Lady,5,49,female,7,14
31,Rumlow,8,125,male,11.18033989,22.36067977
32,Sam,63,489,male,22.11334439,44.22668877
33,Scott,23,244,male,15.62049935,31.2409987
34,Secretary Ross,17,353,male,18.78829423,37.57658846
35,Sharon,22,359,female,18.94729532,37.89459064
36,Steve,154,1404,male,37.46998799,74.93997598
37,T'Chaka,8,174,male,13.19090596,26.38181192
38,T'Challa,28,294,male,17.1464282,34.2928564
39,Teacher Man,3,62,male,7.874007874,15.74801575
40,Text Message,1,5,male,2.236067977,4.472135955
41,Tony,162,2267,male,47.61302343,95.22604686
42,Vasily Karpov,10,56,male,7.483314774,14.96662955
43,Vision,27,347,male,18.62793601,37.25587202
44,Wanda,31,200,female,14.14213562,28.28427125
45,Woman,1,23,female,4.795831523,9.591663047
46,Zemo,31,587,male,24.22808288,48.45616576
47,Zemo's Wife,2,47,female,6.8556546,13.7113092
